true\pred,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,3666,0,1,3,7,4,4,0,0,2,0,0,0,0,0,2,2,2,1,0,5,0,0,4,1
1,0,3905,0,0,0,0,0,2,0,0,0,1,26,0,0,0,2,0,0,1,0,0,0,8,0
2,1,0,11372,3,9,7,0,0,0,0,7,2,0,6,0,0,0,0,0,0,1,0,0,0,0
3,1,0,1,15192,0,0,49,0,26,2,3,0,0,0,2,0,0,9,2,0,2,1,10,0,0
4,3,0,2,5,22731,1,0,0,0,3,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0
5,6,0,18,1,3,2548,6,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
6,1,0,0,160,0,3,3873,0,29,7,1,0,0,0,5,0,1,12,0,0,0,0,0,0,5
7,0,15,0,0,0,0,0,1375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,1,0,0,8,0,2,22,0,6858,4,33,0,0,0,0,0,0,0,0,0,1,2,43,0,43
9,5,0,0,3,0,0,0,0,21,10129,51,0,0,0,0,0,0,0,0,1,1,0,0,0,3
10,0,0,1,2,0,0,1,0,46,35,6922,0,0,0,0,0,1,0,0,0,17,1,2,0,11
11,0,0,0,0,0,0,0,0,0,0,0,10141,178,0,0,0,8,0,0,1,0,0,0,0,0
12,0,8,0,2,0,0,0,0,5,0,0,100,6574,0,2,0,18,0,0,0,0,0,1,2,4
13,0,0,5,0,0,0,0,0,3,0,0,0,0,13404,0,6,0,0,0,0,8,0,0,0,0
14,0,0,0,14,0,0,0,0,5,2,0,0,0,5,16892,0,2,28,0,0,0,0,20,0,3
15,0,0,0,0,5,0,0,0,1,0,0,0,0,0,2,22092,0,0,0,0,0,0,1,0,0
16,1,1,0,2,0,0,3,0,3,0,0,35,51,0,0,0,15849,0,5,0,0,0,0,3,1
17,0,0,0,8,0,0,13,0,3,0,0,0,0,0,16,0,0,3554,0,0,0,0,8,0,1
18,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,12,6,2738,0,0,0,0,2,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2279,0,3,0,1,0
20,9,0,0,1,0,3,4,0,1,3,24,0,0,0,0,0,0,0,0,0,6905,0,0,0,1
21,0,2,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,3,0,6524,0,1,1
22,0,0,0,4,0,0,6,0,82,3,1,0,0,0,3,0,0,6,1,0,0,0,10401,0,9
23,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1204,0
24,2,0,0,0,0,0,3,0,5,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,60130
